Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,tissue
SRR17893942,27 days,WGS,299,1203181688,PRJNA803765,SAMN25686916,Plant,443142489,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",vegetative phase,not applicable,SRX14052894,China,Asia,China:Wuhan,Illumina HiSeq 2500,R178,R178,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R178,SRP358511,blade
SRR17893943,27 days,WGS,299,1150905070,PRJNA803765,SAMN25686915,Plant,422403525,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",vegetative phase,not applicable,SRX14052893,China,Asia,China:Wuhan,Illumina HiSeq 2500,R177,R177,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R177,SRP358511,blade
SRR17893944,27 days,WGS,299,1256487482,PRJNA803765,SAMN25686914,Plant,471141403,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",vegetative phase,not applicable,SRX14052892,China,Asia,China:Wuhan,Illumina HiSeq 2500,R176,R176,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R176,SRP358511,blade
SRR17893945,27 days,WGS,299,1272124334,PRJNA803765,SAMN25686913,Plant,475602900,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14052891,China,Asia,China:Wuhan,Illumina HiSeq 2500,R175,R175,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R175,SRP358511,blade
SRR17893946,27 days,WGS,299,1059751998,PRJNA803765,SAMN25686912,Plant,427280123,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14052890,China,Asia,China:Wuhan,Illumina HiSeq 2500,R174,R174,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R174,SRP358511,blade
SRR17893947,27 days,WGS,299,1705941944,PRJNA803765,SAMN25686831,Plant,651616674,WUHAN UNIVERSITY,public,japonica,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",vegetative phase,not applicable,SRX14052889,China,Asia,China:Wuhan,Illumina HiSeq 2500,R100,R100,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R100,SRP358511,blade
SRR17893948,27 days,WGS,299,1301606684,PRJNA803765,SAMN25686911,Plant,481743345,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",vegetative phase,not applicable,SRX14052888,China,Asia,China:Wuhan,Illumina HiSeq 2500,R173,R173,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R173,SRP358511,blade
SRR17893949,27 days,WGS,299,1298532216,PRJNA803765,SAMN25686910,Plant,492058054,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",vegetative phase,not applicable,SRX14052887,China,Asia,China:Wuhan,Illumina HiSeq 2500,R172,R172,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R172,SRP358511,blade
SRR17893950,27 days,WGS,299,1299137518,PRJNA803765,SAMN25686909,Plant,476624241,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",vegetative phase,not applicable,SRX14052886,China,Asia,China:Wuhan,Illumina HiSeq 2500,R171,R171,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R171,SRP358511,blade
SRR17893951,27 days,WGS,299,1263405342,PRJNA803765,SAMN25686908,Plant,466681944,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",vegetative phase,not applicable,SRX14052885,China,Asia,China:Wuhan,Illumina HiSeq 2500,R170,R170,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R170,SRP358511,blade
